enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,training_hours,target
8949,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,36.0,1.0
29725,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,47.0,0.0
11561,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,5,,,83.0,0.0
33241,city_115,0.789,,No relevent experience,,Graduate,Business Degree,0,,Pvt Ltd,52.0,1.0
666,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,20,50-99,Funded Startup,8.0,0.0
21651,city_176,0.764,,Has relevent experience,Part time course,Graduate,STEM,11,,,24.0,1.0
28806,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,24.0,0.0
402,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,18.0,1.0
27107,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,46.0,1.0
699,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,123.0,0.0
29452,city_21,0.624,,No relevent experience,Full time course,High School,,2,,,32.0,1.0
23853,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,108.0,0.0
25619,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,23.0,0.0
5826,city_21,0.624,Male,No relevent experience,,,,2,,,24.0,0.0
8722,city_21,0.624,,No relevent experience,Full time course,High School,,5,,,26.0,0.0
6588,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,18.0,0.0
4167,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,106.0,0.0
5764,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,7.0,0.0
