Order Date,Sales,Product ID,Sales_PREDICTED,Sales_Forecasted,MODEL
2018-02-01,0.0,FUR-BO-10001798,175.0,,MA
2018-03-01,0.0,FUR-BO-10001798,63.0,,MA
2018-04-01,0.0,FUR-BO-10001798,63.0,,MA
2018-05-01,0.0,FUR-BO-10001798,63.0,,MA
2018-06-01,0.0,FUR-BO-10001798,63.0,,MA
2018-07-01,0.0,FUR-BO-10001798,0.0,,MA
2018-08-31,,FUR-BO-10001798,,0.0,MA
2018-09-30,,FUR-BO-10001798,,0.0,MA
2018-10-31,,FUR-BO-10001798,,0.0,MA
2018-11-30,,FUR-BO-10001798,,0.0,MA
2018-12-31,,FUR-BO-10001798,,0.0,MA
2019-01-31,,FUR-BO-10001798,,0.0,MA
2019-02-28,,FUR-BO-10001798,,0.0,MA
2019-03-31,,FUR-BO-10001798,,0.0,MA
2019-04-30,,FUR-BO-10001798,,0.0,MA
2019-05-31,,FUR-BO-10001798,,0.0,MA
2019-06-30,,FUR-BO-10001798,,0.0,MA
2019-07-31,,FUR-BO-10001798,,0.0,MA
2019-08-31,,FUR-BO-10001798,,0.0,MA
2019-09-30,,FUR-BO-10001798,,0.0,MA
2019-10-31,,FUR-BO-10001798,,0.0,MA
2019-11-30,,FUR-BO-10001798,,0.0,MA
2019-12-31,,FUR-BO-10001798,,0.0,MA
2020-01-31,,FUR-BO-10001798,,0.0,MA
2018-05-01,0.0,FUR-CH-10000454,384.0,,MA
2018-06-01,487.96,FUR-CH-10000454,384.0,,MA
2018-07-01,0.0,FUR-CH-10000454,454.0,,MA
2018-08-01,0.0,FUR-CH-10000454,210.0,,MA
2018-09-01,0.0,FUR-CH-10000454,210.0,,MA
2018-10-01,0.0,FUR-CH-10000454,70.0,,MA
2018-11-30,,FUR-CH-10000454,,70.0,MA
2018-12-31,,FUR-CH-10000454,,80.0,MA
2019-01-31,,FUR-CH-10000454,,92.0,MA
2019-02-28,,FUR-CH-10000454,,35.0,MA
2019-03-31,,FUR-CH-10000454,,40.0,MA
2019-04-30,,FUR-CH-10000454,,45.0,MA
2019-05-31,,FUR-CH-10000454,,52.0,MA
2019-06-30,,FUR-CH-10000454,,59.0,MA
2019-07-31,,FUR-CH-10000454,,58.0,MA
2019-08-31,,FUR-CH-10000454,,54.0,MA
2019-09-30,,FUR-CH-10000454,,49.0,MA
2019-10-31,,FUR-CH-10000454,,51.0,MA
2019-11-30,,FUR-CH-10000454,,53.0,MA
2019-12-31,,FUR-CH-10000454,,54.0,MA
2020-01-31,,FUR-CH-10000454,,54.0,MA
2020-02-29,,FUR-CH-10000454,,53.0,MA
2020-03-31,,FUR-CH-10000454,,52.0,MA
2020-04-30,,FUR-CH-10000454,,52.0,MA
2017-11-01,0.0,OFF-LA-10000240,3.0,,MA
2017-12-01,14.62,OFF-LA-10000240,3.0,,MA
2018-01-01,0.0,OFF-LA-10000240,4.0,,MA
2018-02-01,0.0,OFF-LA-10000240,4.0,,MA
2018-03-01,0.0,OFF-LA-10000240,3.0,,MA
2018-04-01,0.0,OFF-LA-10000240,3.0,,MA
2018-05-31,,OFF-LA-10000240,,3.0,MA
2018-06-30,,OFF-LA-10000240,,2.0,MA
2018-07-31,,OFF-LA-10000240,,2.0,MA
2018-08-31,,OFF-LA-10000240,,2.0,MA
2018-09-30,,OFF-LA-10000240,,2.0,MA
2018-10-31,,OFF-LA-10000240,,2.0,MA
2018-11-30,,OFF-LA-10000240,,2.0,MA
2018-12-31,,OFF-LA-10000240,,2.0,MA
2019-01-31,,OFF-LA-10000240,,2.0,MA
2019-02-28,,OFF-LA-10000240,,2.0,MA
2019-03-31,,OFF-LA-10000240,,3.0,MA
2019-04-30,,OFF-LA-10000240,,2.0,MA
2019-05-31,,OFF-LA-10000240,,2.0,MA
2019-06-30,,OFF-LA-10000240,,2.0,MA
2019-07-31,,OFF-LA-10000240,,2.0,MA
2019-08-31,,OFF-LA-10000240,,2.0,MA
2019-09-30,,OFF-LA-10000240,,2.0,MA
2019-10-31,,OFF-LA-10000240,,2.0,MA
2018-06-01,1044.63,FUR-TA-10000577,75.0,,MA
2018-07-01,0.0,FUR-TA-10000577,144.0,,MA
2018-08-01,0.0,FUR-TA-10000577,144.0,,MA
2018-09-01,0.0,FUR-TA-10000577,144.0,,MA
2018-10-01,0.0,FUR-TA-10000577,144.0,,MA
2018-11-01,0.0,FUR-TA-10000577,144.0,,MA
2018-12-31,,FUR-TA-10000577,,144.0,MA
2019-01-31,,FUR-TA-10000577,,154.0,MA
2019-02-28,,FUR-TA-10000577,,164.0,MA
2019-03-31,,FUR-TA-10000577,,175.0,MA
2019-04-30,,FUR-TA-10000577,,113.0,MA
2019-05-31,,FUR-TA-10000577,,120.0,MA
2019-06-30,,FUR-TA-10000577,,128.0,MA
2019-07-31,,FUR-TA-10000577,,136.0,MA
2019-08-31,,FUR-TA-10000577,,146.0,MA
2019-09-30,,FUR-TA-10000577,,155.0,MA
2019-10-31,,FUR-TA-10000577,,96.0,MA
2019-11-30,,FUR-TA-10000577,,102.0,MA
2019-12-31,,FUR-TA-10000577,,109.0,MA
2020-01-31,,FUR-TA-10000577,,116.0,MA
2020-02-29,,FUR-TA-10000577,,124.0,MA
2020-03-31,,FUR-TA-10000577,,132.0,MA
2020-04-30,,FUR-TA-10000577,,131.0,MA
2020-05-31,,FUR-TA-10000577,,130.0,MA
2018-01-01,0.0,OFF-ST-10000760,0.0,,MA
2018-02-01,0.0,OFF-ST-10000760,0.0,,MA
2018-03-01,0.0,OFF-ST-10000760,0.0,,MA
2018-04-01,0.0,OFF-ST-10000760,0.0,,MA
2018-05-01,0.0,OFF-ST-10000760,0.0,,MA
2018-06-01,0.0,OFF-ST-10000760,0.0,,MA
2018-07-31,,OFF-ST-10000760,,0.0,MA
2018-08-31,,OFF-ST-10000760,,0.0,MA
2018-09-30,,OFF-ST-10000760,,0.0,MA
2018-10-31,,OFF-ST-10000760,,0.0,MA
2018-11-30,,OFF-ST-10000760,,0.0,MA
2018-12-31,,OFF-ST-10000760,,0.0,MA
2019-01-31,,OFF-ST-10000760,,0.0,MA
2019-02-28,,OFF-ST-10000760,,0.0,MA
2019-03-31,,OFF-ST-10000760,,0.0,MA
2019-04-30,,OFF-ST-10000760,,0.0,MA
2019-05-31,,OFF-ST-10000760,,0.0,MA
2019-06-30,,OFF-ST-10000760,,0.0,MA
2019-07-31,,OFF-ST-10000760,,0.0,MA
2019-08-31,,OFF-ST-10000760,,0.0,MA
2019-09-30,,OFF-ST-10000760,,0.0,MA
2019-10-31,,OFF-ST-10000760,,0.0,MA
2019-11-30,,OFF-ST-10000760,,0.0,MA
2019-12-31,,OFF-ST-10000760,,0.0,MA
2017-11-01,0.0,FUR-FU-10001487,0.0,,MA
2017-12-01,0.0,FUR-FU-10001487,0.0,,MA
2018-01-01,27.92,FUR-FU-10001487,0.0,,MA
2018-02-01,0.0,FUR-FU-10001487,2.0,,MA
2018-03-01,0.0,FUR-FU-10001487,2.0,,MA
2018-04-01,0.0,FUR-FU-10001487,2.0,,MA
2018-05-31,,FUR-FU-10001487,,2.0,MA
2018-06-30,,FUR-FU-10001487,,3.0,MA
2018-07-31,,FUR-FU-10001487,,3.0,MA
2018-08-31,,FUR-FU-10001487,,3.0,MA
2018-09-30,,FUR-FU-10001487,,3.0,MA
2018-10-31,,FUR-FU-10001487,,3.0,MA
2018-11-30,,FUR-FU-10001487,,4.0,MA
2018-12-31,,FUR-FU-10001487,,4.0,MA
2019-01-31,,FUR-FU-10001487,,4.0,MA
2019-02-28,,FUR-FU-10001487,,4.0,MA
2019-03-31,,FUR-FU-10001487,,4.0,MA
2019-04-30,,FUR-FU-10001487,,3.0,MA
2019-05-31,,FUR-FU-10001487,,3.0,MA
2019-06-30,,FUR-FU-10001487,,3.0,MA
2019-07-31,,FUR-FU-10001487,,3.0,MA
2019-08-31,,FUR-FU-10001487,,3.0,MA
2019-09-30,,FUR-FU-10001487,,3.0,MA
2019-10-31,,FUR-FU-10001487,,3.0,MA
2018-01-01,0.0,OFF-AR-10002833,1.0,,MA
2018-02-01,0.0,OFF-AR-10002833,1.0,,MA
2018-03-01,0.0,OFF-AR-10002833,1.0,,MA
2018-04-01,0.0,OFF-AR-10002833,1.0,,MA
2018-05-01,0.0,OFF-AR-10002833,1.0,,MA
2018-06-01,0.0,OFF-AR-10002833,1.0,,MA
2018-07-31,,OFF-AR-10002833,,1.0,MA
2018-08-31,,OFF-AR-10002833,,1.0,MA
2018-09-30,,OFF-AR-10002833,,1.0,MA
2018-10-31,,OFF-AR-10002833,,1.0,MA
2018-11-30,,OFF-AR-10002833,,1.0,MA
2018-12-31,,OFF-AR-10002833,,1.0,MA
2019-01-31,,OFF-AR-10002833,,1.0,MA
2019-02-28,,OFF-AR-10002833,,1.0,MA
2019-03-31,,OFF-AR-10002833,,1.0,MA
2019-04-30,,OFF-AR-10002833,,1.0,MA
2019-05-31,,OFF-AR-10002833,,1.0,MA
2019-06-30,,OFF-AR-10002833,,1.0,MA
2019-07-31,,OFF-AR-10002833,,1.0,MA
2019-08-31,,OFF-AR-10002833,,1.0,MA
2019-09-30,,OFF-AR-10002833,,1.0,MA
2019-10-31,,OFF-AR-10002833,,1.0,MA
2019-11-30,,OFF-AR-10002833,,1.0,MA
2019-12-31,,OFF-AR-10002833,,1.0,MA
2017-07-01,0.0,TEC-PH-10002275,38.0,,MA
2017-08-01,0.0,TEC-PH-10002275,38.0,,MA
2017-09-01,0.0,TEC-PH-10002275,38.0,,MA
2017-10-01,0.0,TEC-PH-10002275,38.0,,MA
2017-11-01,0.0,TEC-PH-10002275,38.0,,MA
2017-12-01,302.384,TEC-PH-10002275,38.0,,MA
2018-01-31,,TEC-PH-10002275,,38.0,MA
2018-02-28,,TEC-PH-10002275,,43.0,MA
2018-03-31,,TEC-PH-10002275,,48.0,MA
2018-04-30,,TEC-PH-10002275,,54.0,MA
2018-05-31,,TEC-PH-10002275,,61.0,MA
2018-06-30,,TEC-PH-10002275,,69.0,MA
2018-07-31,,TEC-PH-10002275,,77.0,MA
2018-08-31,,TEC-PH-10002275,,87.0,MA
2018-09-30,,TEC-PH-10002275,,60.0,MA
2018-10-31,,TEC-PH-10002275,,62.0,MA
2018-11-30,,TEC-PH-10002275,,65.0,MA
2018-12-31,,TEC-PH-10002275,,67.0,MA
2019-01-31,,TEC-PH-10002275,,68.0,MA
2019-02-28,,TEC-PH-10002275,,69.0,MA
2019-03-31,,TEC-PH-10002275,,69.0,MA
2019-04-30,,TEC-PH-10002275,,68.0,MA
2019-05-31,,TEC-PH-10002275,,66.0,MA
2019-06-30,,TEC-PH-10002275,,67.0,MA
2018-03-01,0.0,OFF-BI-10003910,7.0,,MA
2018-04-01,2.313,OFF-BI-10003910,7.0,,MA
2018-05-01,0.0,OFF-BI-10003910,8.0,,MA
2018-06-01,0.0,OFF-BI-10003910,8.0,,MA
2018-07-01,0.0,OFF-BI-10003910,8.0,,MA
2018-08-01,61.68,OFF-BI-10003910,8.0,,MA
2018-09-30,,OFF-BI-10003910,,9.0,MA
2018-10-31,,OFF-BI-10003910,,10.0,MA
2018-11-30,,OFF-BI-10003910,,11.0,MA
2018-12-31,,OFF-BI-10003910,,12.0,MA
2019-01-31,,OFF-BI-10003910,,13.0,MA
2019-02-28,,OFF-BI-10003910,,15.0,MA
2019-03-31,,OFF-BI-10003910,,17.0,MA
2019-04-30,,OFF-BI-10003910,,19.0,MA
2019-05-31,,OFF-BI-10003910,,13.0,MA
2019-06-30,,OFF-BI-10003910,,14.0,MA
2019-07-31,,OFF-BI-10003910,,14.0,MA
2019-08-31,,OFF-BI-10003910,,14.0,MA
2019-09-30,,OFF-BI-10003910,,15.0,MA
2019-10-31,,OFF-BI-10003910,,15.0,MA
2019-11-30,,OFF-BI-10003910,,15.0,MA
2019-12-31,,OFF-BI-10003910,,15.0,MA
2020-01-31,,OFF-BI-10003910,,14.0,MA
2020-02-29,,OFF-BI-10003910,,15.0,MA
2017-05-01,0.0,OFF-AP-10002892,12.0,,MA
2017-06-01,0.0,OFF-AP-10002892,5.0,,MA
2017-07-01,45.96,OFF-AP-10002892,5.0,,MA
2017-08-01,0.0,OFF-AP-10002892,10.0,,MA
2017-09-01,0.0,OFF-AP-10002892,10.0,,MA
2017-10-01,0.0,OFF-AP-10002892,10.0,,MA
2017-11-30,,OFF-AP-10002892,,10.0,MA
2017-12-31,,OFF-AP-10002892,,6.0,MA
2018-01-31,,OFF-AP-10002892,,7.0,MA
2018-02-28,,OFF-AP-10002892,,7.0,MA
2018-03-31,,OFF-AP-10002892,,8.0,MA
2018-04-30,,OFF-AP-10002892,,9.0,MA
2018-05-31,,OFF-AP-10002892,,9.0,MA
2018-06-30,,OFF-AP-10002892,,6.0,MA
2018-07-31,,OFF-AP-10002892,,6.0,MA
2018-08-31,,OFF-AP-10002892,,7.0,MA
2018-09-30,,OFF-AP-10002892,,7.0,MA
2018-10-31,,OFF-AP-10002892,,7.0,MA
2018-11-30,,OFF-AP-10002892,,7.0,MA
2018-12-31,,OFF-AP-10002892,,7.0,MA
2019-01-31,,OFF-AP-10002892,,7.0,MA
2019-02-28,,OFF-AP-10002892,,7.0,MA
2019-03-31,,OFF-AP-10002892,,7.0,MA
2019-04-30,,OFF-AP-10002892,,7.0,MA
2018-04-01,0.0,FUR-TA-10001539,40.0,,MA
2018-05-01,0.0,FUR-TA-10001539,40.0,,MA
2018-06-01,0.0,FUR-TA-10001539,40.0,,MA
2018-07-01,0.0,FUR-TA-10001539,40.0,,MA
2018-08-01,568.728,FUR-TA-10001539,40.0,,MA
2018-09-01,0.0,FUR-TA-10001539,40.0,,MA
2018-10-31,,FUR-TA-10001539,,40.0,MA
2018-11-30,,FUR-TA-10001539,,42.0,MA
2018-12-31,,FUR-TA-10001539,,45.0,MA
2019-01-31,,FUR-TA-10001539,,47.0,MA
2019-02-28,,FUR-TA-10001539,,50.0,MA
2019-03-31,,FUR-TA-10001539,,52.0,MA
2019-04-30,,FUR-TA-10001539,,55.0,MA
2019-05-31,,FUR-TA-10001539,,50.0,MA
2019-06-30,,FUR-TA-10001539,,53.0,MA
2019-07-31,,FUR-TA-10001539,,56.0,MA
2019-08-31,,FUR-TA-10001539,,59.0,MA
2019-09-30,,FUR-TA-10001539,,62.0,MA
2019-10-31,,FUR-TA-10001539,,66.0,MA
2019-11-30,,FUR-TA-10001539,,69.0,MA
2019-12-31,,FUR-TA-10001539,,73.0,MA
2020-01-31,,FUR-TA-10001539,,77.0,MA
2020-02-29,,FUR-TA-10001539,,81.0,MA
2020-03-31,,FUR-TA-10001539,,54.0,MA
2018-01-01,0.0,TEC-PH-10002033,0.0,,MA
2018-02-01,0.0,TEC-PH-10002033,0.0,,MA
2018-03-01,0.0,TEC-PH-10002033,0.0,,MA
2018-04-01,0.0,TEC-PH-10002033,0.0,,MA
2018-05-01,0.0,TEC-PH-10002033,0.0,,MA
2018-06-01,0.0,TEC-PH-10002033,0.0,,MA
2018-07-31,,TEC-PH-10002033,,0.0,MA
2018-08-31,,TEC-PH-10002033,,0.0,MA
2018-09-30,,TEC-PH-10002033,,0.0,MA
2018-10-31,,TEC-PH-10002033,,0.0,MA
2018-11-30,,TEC-PH-10002033,,0.0,MA
2018-12-31,,TEC-PH-10002033,,0.0,MA
2019-01-31,,TEC-PH-10002033,,0.0,MA
2019-02-28,,TEC-PH-10002033,,0.0,MA
2019-03-31,,TEC-PH-10002033,,0.0,MA
2019-04-30,,TEC-PH-10002033,,0.0,MA
2019-05-31,,TEC-PH-10002033,,0.0,MA
2019-06-30,,TEC-PH-10002033,,0.0,MA
2019-07-31,,TEC-PH-10002033,,0.0,MA
2019-08-31,,TEC-PH-10002033,,0.0,MA
2019-09-30,,TEC-PH-10002033,,0.0,MA
2019-10-31,,TEC-PH-10002033,,0.0,MA
2019-11-30,,TEC-PH-10002033,,0.0,MA
2019-12-31,,TEC-PH-10002033,,0.0,MA
2017-10-01,0.0,OFF-PA-10002365,2.0,,MA
2017-11-01,0.0,OFF-PA-10002365,2.0,,MA
2017-12-01,0.0,OFF-PA-10002365,2.0,,MA
2018-01-01,0.0,OFF-PA-10002365,1.0,,MA
2018-02-01,0.0,OFF-PA-10002365,1.0,,MA
2018-03-01,0.0,OFF-PA-10002365,1.0,,MA
2018-04-30,,OFF-PA-10002365,,0.0,MA
2018-05-31,,OFF-PA-10002365,,0.0,MA
2018-06-30,,OFF-PA-10002365,,0.0,MA
2018-07-31,,OFF-PA-10002365,,0.0,MA
2018-08-31,,OFF-PA-10002365,,0.0,MA
2018-09-30,,OFF-PA-10002365,,0.0,MA
2018-10-31,,OFF-PA-10002365,,0.0,MA
2018-11-30,,OFF-PA-10002365,,0.0,MA
2018-12-31,,OFF-PA-10002365,,0.0,MA
2019-01-31,,OFF-PA-10002365,,0.0,MA
2019-02-28,,OFF-PA-10002365,,0.0,MA
2019-03-31,,OFF-PA-10002365,,0.0,MA
2019-04-30,,OFF-PA-10002365,,0.0,MA
2019-05-31,,OFF-PA-10002365,,0.0,MA
2019-06-30,,OFF-PA-10002365,,0.0,MA
2019-07-31,,OFF-PA-10002365,,0.0,MA
2019-08-31,,OFF-PA-10002365,,0.0,MA
2019-09-30,,OFF-PA-10002365,,0.0,MA
2018-01-01,169.99,OFF-BI-10003656,191.0,,MA
2018-02-01,0.0,OFF-BI-10003656,225.0,,MA
2018-03-01,0.0,OFF-BI-10003656,170.0,,MA
2018-04-01,0.0,OFF-BI-10003656,34.0,,MA
2018-05-01,0.0,OFF-BI-10003656,34.0,,MA
2018-06-01,0.0,OFF-BI-10003656,34.0,,MA
2018-07-31,,OFF-BI-10003656,,0.0,MA
2018-08-31,,OFF-BI-10003656,,0.0,MA
2018-09-30,,OFF-BI-10003656,,0.0,MA
2018-10-31,,OFF-BI-10003656,,0.0,MA
2018-11-30,,OFF-BI-10003656,,0.0,MA
2018-12-31,,OFF-BI-10003656,,0.0,MA
2019-01-31,,OFF-BI-10003656,,0.0,MA
2019-02-28,,OFF-BI-10003656,,0.0,MA
2019-03-31,,OFF-BI-10003656,,0.0,MA
2019-04-30,,OFF-BI-10003656,,0.0,MA
2019-05-31,,OFF-BI-10003656,,0.0,MA
2019-06-30,,OFF-BI-10003656,,0.0,MA
2019-07-31,,OFF-BI-10003656,,0.0,MA
2019-08-31,,OFF-BI-10003656,,0.0,MA
2019-09-30,,OFF-BI-10003656,,0.0,MA
2019-10-31,,OFF-BI-10003656,,0.0,MA
2019-11-30,,OFF-BI-10003656,,0.0,MA
2019-12-31,,OFF-BI-10003656,,0.0,MA
2018-05-01,0.0,OFF-AP-10002311,28.0,,MA
2018-06-01,0.0,OFF-AP-10002311,28.0,,MA
2018-07-01,137.62,OFF-AP-10002311,28.0,,MA
2018-08-01,0.0,OFF-AP-10002311,37.0,,MA
2018-09-01,0.0,OFF-AP-10002311,37.0,,MA
2018-10-01,0.0,OFF-AP-10002311,37.0,,MA
2018-11-30,,OFF-AP-10002311,,20.0,MA
2018-12-31,,OFF-AP-10002311,,21.0,MA
2019-01-31,,OFF-AP-10002311,,22.0,MA
2019-02-28,,OFF-AP-10002311,,20.0,MA
2019-03-31,,OFF-AP-10002311,,21.0,MA
2019-04-30,,OFF-AP-10002311,,22.0,MA
2019-05-31,,OFF-AP-10002311,,17.0,MA
2019-06-30,,OFF-AP-10002311,,18.0,MA
2019-07-31,,OFF-AP-10002311,,19.0,MA
2019-08-31,,OFF-AP-10002311,,20.0,MA
2019-09-30,,OFF-AP-10002311,,21.0,MA
2019-10-31,,OFF-AP-10002311,,23.0,MA
2019-11-30,,OFF-AP-10002311,,24.0,MA
2019-12-31,,OFF-AP-10002311,,17.0,MA
2020-01-31,,OFF-AP-10002311,,18.0,MA
2020-02-29,,OFF-AP-10002311,,19.0,MA
2020-03-31,,OFF-AP-10002311,,20.0,MA
2020-04-30,,OFF-AP-10002311,,20.0,MA
2018-01-01,0.0,OFF-BI-10000756,3.0,,MA
2018-02-01,0.0,OFF-BI-10000756,3.0,,MA
2018-03-01,0.0,OFF-BI-10000756,3.0,,MA
2018-04-01,0.0,OFF-BI-10000756,3.0,,MA
2018-05-01,0.0,OFF-BI-10000756,3.0,,MA
2018-06-01,5.936,OFF-BI-10000756,3.0,,MA
2018-07-31,,OFF-BI-10000756,,4.0,MA
2018-08-31,,OFF-BI-10000756,,1.0,MA
2018-09-30,,OFF-BI-10000756,,1.0,MA
2018-10-31,,OFF-BI-10000756,,2.0,MA
2018-11-30,,OFF-BI-10000756,,2.0,MA
2018-12-31,,OFF-BI-10000756,,2.0,MA
2019-01-31,,OFF-BI-10000756,,2.0,MA
2019-02-28,,OFF-BI-10000756,,2.0,MA
2019-03-31,,OFF-BI-10000756,,2.0,MA
2019-04-30,,OFF-BI-10000756,,2.0,MA
2019-05-31,,OFF-BI-10000756,,2.0,MA
2019-06-30,,OFF-BI-10000756,,2.0,MA
2019-07-31,,OFF-BI-10000756,,2.0,MA
2019-08-31,,OFF-BI-10000756,,2.0,MA
2019-09-30,,OFF-BI-10000756,,2.0,MA
2019-10-31,,OFF-BI-10000756,,2.0,MA
2019-11-30,,OFF-BI-10000756,,2.0,MA
2019-12-31,,OFF-BI-10000756,,2.0,MA
2017-05-01,0.0,OFF-ST-10004186,142.0,,MA
2017-06-01,0.0,OFF-ST-10004186,142.0,,MA
2017-07-01,0.0,OFF-ST-10004186,142.0,,MA
2017-08-01,0.0,OFF-ST-10004186,122.0,,MA
2017-09-01,0.0,OFF-ST-10004186,0.0,,MA
2017-10-01,0.0,OFF-ST-10004186,0.0,,MA
2017-11-30,,OFF-ST-10004186,,0.0,MA
2017-12-31,,OFF-ST-10004186,,0.0,MA
2018-01-31,,OFF-ST-10004186,,0.0,MA
2018-02-28,,OFF-ST-10004186,,0.0,MA
2018-03-31,,OFF-ST-10004186,,0.0,MA
2018-04-30,,OFF-ST-10004186,,0.0,MA
2018-05-31,,OFF-ST-10004186,,0.0,MA
2018-06-30,,OFF-ST-10004186,,0.0,MA
2018-07-31,,OFF-ST-10004186,,0.0,MA
2018-08-31,,OFF-ST-10004186,,0.0,MA
2018-09-30,,OFF-ST-10004186,,0.0,MA
2018-10-31,,OFF-ST-10004186,,0.0,MA
2018-11-30,,OFF-ST-10004186,,0.0,MA
2018-12-31,,OFF-ST-10004186,,0.0,MA
2019-01-31,,OFF-ST-10004186,,0.0,MA
2019-02-28,,OFF-ST-10004186,,0.0,MA
2019-03-31,,OFF-ST-10004186,,0.0,MA
2019-04-30,,OFF-ST-10004186,,0.0,MA
2016-06-01,0.0,OFF-ST-10000107,32.0,,MA
2016-07-01,0.0,OFF-ST-10000107,32.0,,MA
2016-08-01,0.0,OFF-ST-10000107,32.0,,MA
2016-09-01,0.0,OFF-ST-10000107,0.0,,MA
2016-10-01,0.0,OFF-ST-10000107,0.0,,MA
2016-11-01,0.0,OFF-ST-10000107,0.0,,MA
2016-12-31,,OFF-ST-10000107,,0.0,MA
2017-01-31,,OFF-ST-10000107,,0.0,MA
2017-02-28,,OFF-ST-10000107,,0.0,MA
2017-03-31,,OFF-ST-10000107,,0.0,MA
2017-04-30,,OFF-ST-10000107,,0.0,MA
2017-05-31,,OFF-ST-10000107,,0.0,MA
2017-06-30,,OFF-ST-10000107,,0.0,MA
2017-07-31,,OFF-ST-10000107,,0.0,MA
2017-08-31,,OFF-ST-10000107,,0.0,MA
2017-09-30,,OFF-ST-10000107,,0.0,MA
2017-10-31,,OFF-ST-10000107,,0.0,MA
2017-11-30,,OFF-ST-10000107,,0.0,MA
2017-12-31,,OFF-ST-10000107,,0.0,MA
2018-01-31,,OFF-ST-10000107,,0.0,MA
2018-02-28,,OFF-ST-10000107,,0.0,MA
2018-03-31,,OFF-ST-10000107,,0.0,MA
2018-04-30,,OFF-ST-10000107,,0.0,MA
2018-05-31,,OFF-ST-10000107,,0.0,MA
2017-10-01,0.0,OFF-AR-10003056,8.0,,MA
2017-11-01,0.0,OFF-AR-10003056,5.0,,MA
2017-12-01,0.0,OFF-AR-10003056,2.0,,MA
2018-01-01,0.0,OFF-AR-10003056,2.0,,MA
2018-02-01,0.0,OFF-AR-10003056,2.0,,MA
2018-03-01,0.0,OFF-AR-10003056,0.0,,MA
2018-04-30,,OFF-AR-10003056,,0.0,MA
2018-05-31,,OFF-AR-10003056,,0.0,MA
2018-06-30,,OFF-AR-10003056,,0.0,MA
2018-07-31,,OFF-AR-10003056,,0.0,MA
2018-08-31,,OFF-AR-10003056,,0.0,MA
2018-09-30,,OFF-AR-10003056,,0.0,MA
2018-10-31,,OFF-AR-10003056,,0.0,MA
2018-11-30,,OFF-AR-10003056,,0.0,MA
2018-12-31,,OFF-AR-10003056,,0.0,MA
2019-01-31,,OFF-AR-10003056,,0.0,MA
2019-02-28,,OFF-AR-10003056,,0.0,MA
2019-03-31,,OFF-AR-10003056,,0.0,MA
2019-04-30,,OFF-AR-10003056,,0.0,MA
2019-05-31,,OFF-AR-10003056,,0.0,MA
2019-06-30,,OFF-AR-10003056,,0.0,MA
2019-07-31,,OFF-AR-10003056,,0.0,MA
2019-08-31,,OFF-AR-10003056,,0.0,MA
2019-09-30,,OFF-AR-10003056,,0.0,MA
2018-03-01,0.0,OFF-BI-10002215,4.0,,MA
2018-04-01,0.0,OFF-BI-10002215,4.0,,MA
2018-05-01,0.0,OFF-BI-10002215,2.0,,MA
2018-06-01,0.0,OFF-BI-10002215,2.0,,MA
2018-07-01,0.0,OFF-BI-10002215,0.0,,MA
2018-08-01,0.0,OFF-BI-10002215,0.0,,MA
2018-09-30,,OFF-BI-10002215,,0.0,MA
2018-10-31,,OFF-BI-10002215,,0.0,MA
2018-11-30,,OFF-BI-10002215,,0.0,MA
2018-12-31,,OFF-BI-10002215,,0.0,MA
2019-01-31,,OFF-BI-10002215,,0.0,MA
